我,送,你,那,里	C-PN,C-VV,C-PN,M-PN,C-PN
他,们,高,兴	C-PN,C-PN,M-VA,C-VA
因,为,买,东,西,还,有,交,通,很,方,便	C-P,C-P,C-NR,C-NR,C-NR,C-CC,C-CC,C-NN,C-NN,M-AD,C-VA,C-VA
在,泰,国,每,个,月,天,气,都,热	C-P,C-NR,C-NR,C-DT,C-DT,C-NN,C-NN,C-NN,C-AD,M-VA
我,高,兴,我,的,老,师,是,那,位,小,姐	C-PN,M-VA,C-VA,C-PN,C-DEG,C-NN,C-NN,C-VC,C-PN,C-PN,C-NN,C-NN
每,个,人,对,我,很,好	C-DT,C-DT,C-NN,M-P,C-PN,C-AD,C-VA
一,台,车,来	C-CD,C-M,C-NN,C-VV
他,爬,三,个,小,时	C-PN,C-VV,M-CD,C-M,C-NN,C-NN
他,等,著,等,著,就,来,一,辆,红,车	C-PN,C-VV,C-AS,C-VV,C-AS,C-AD,C-VV,M-CD,C-M,C-NN,C-NN
我,们,已,经,太,久,没,见,面	C-PN,C-PN,C-AD,C-AD,C-AD,C-AD,C-AD,C-VV,C-VV
我,迷,路	C-PN,C-VV,C-VV
到,了,以,后,他,走,著,走,著,就,不,知,道,他,在,哪,里	C-VV,C-AS,C-LC,C-LC,C-PN,C-VV,C-VV,C-VV,C-AS,C-AD,C-AD,C-VV,C-VV,C-PN,C-VV,C-PN,C-PN
因,为,我,跟,父,母,一,起,去,姑,姑,的,家	C-P,C-P,C-PN,M-P,C-NN,C-NN,C-CD,C-M,C-VV,C-NN,C-NN,C-DEC,C-NN
希,望,我,不,让,你,难,过	C-VV,C-VV,C-PN,C-AD,M-VV,C-PN,C-AD,C-VV
最,近,找,到,工,作,很,难	C-NT,C-NT,M-VV,C-VV,C-NN,C-NN,C-AD,C-VA
那,电,影,是,机,器,人,的,故,事	C-PN,M-NN,C-NN,C-VC,C-NN,C-NN,C-NN,C-DEG,C-NN,C-NN
那,课,是,我,最,喜,欢,的	C-PN,M-NN,C-VC,C-PN,C-AD,C-VV,C-VV,C-DEC
他,很,亲,切,带,我,去,火,车,站	C-PN,C-AD,C-VA,C-VA,M-VV,C-PN,C-VV,C-NN,C-NN,C-NN
可,是,他,最,喜,欢,是,红,色,的,小,鸟	C-AD,C-AD,C-PN,C-AD,C-VV,C-VV,M-VC,C-JJ,C-JJ,C-DEG,C-NN,C-NN
可,是,我,没,看,到,那,么,漂,亮	C-AD,C-AD,C-PN,C-AD,C-VV,C-VV,C-AD,C-AD,C-VA,C-VA
我,不,知,道,你,打,工,地,方,有,什,么,好,吃,的,餐,厅	C-PN,C-AD,C-VV,C-VV,C-PN,C-VV,C-VV,M-NN,C-NN,C-VE,C-DT,C-DT,C-VA,C-VA,C-DEC,C-NN,C-NN
我,是,你,小,学,朋,友	C-PN,C-VC,C-PN,C-NN,C-NN,M-NN,C-NN
我,最,喜,欢,的,日,本,地,方,是,长,野	C-PN,C-AD,C-VV,C-VV,C-DEC,C-NR,C-NR,M-NN,C-NN,C-VC,C-NR,C-NR
我,跟,她,去,最,好,电,影,院	C-PN,C-P,C-PN,C-VV,C-AD,C-JJ,M-NN,C-NN,C-NN
走,路,时,候	C-VV,C-VV,M-NN,C-NN
看,电,影,时,候	C-VV,C-NN,C-NN,M-NN,C-NN
一,天,很,有,意,思	M-CD,C-M,C-AD,C-VE,C-NN,C-NN
他,们,在,公,车,聊,天	C-PN,C-PN,C-P,C-NN,C-NN,M-VV,C-VV
可,是,今,天,也,是,我,应,该,上,课,的	C-AD,C-AD,C-NT,C-NT,C-AD,C-VC,C-PN,C-VV,C-VV,C-VV,C-VV,C-SP
可,是,很,多,人,卖,票,的,地,方,前,面,等	C-AD,C-AD,C-AD,C-CD,C-NN,M-VV,C-VV,C-DEC,C-NN,C-NN,C-NN,C-NN,C-ETC
我,六,点,就,跟,你,们,那,里,见,面	C-PN,C-NT,C-NT,C-AD,C-P,C-PN,C-PN,M-PN,C-PN,C-VV,C-VV
下,个,星,期,五,我,弟,弟,的,生,日	C-DT,C-DT,C-NT,C-NT,C-NT,M-PN,C-NN,C-NN,C-DEG,C-NN,C-NN
也,我,不,太,喜,欢,的,季,节	C-AD,M-PN,C-AD,C-AD,C-VV,C-VV,C-DEC,C-NN,C-NN
今,天,我,头,一,次,去,学,校,的,日,子	C-NT,C-NT,M-PN,C-DT,C-CD,C-M,C-VV,C-NN,C-NN,C-DEC,C-NN,C-NN
因,为,我,出,生,的,季,节	C-P,C-P,M-PN,C-VV,C-VV,C-DEC,C-NN,C-NN
你,知,道,这,个,周,末,我,弟,弟,的,生,日,吗	C-PN,C-VV,C-VV,C-DT,C-DT,C-NT,C-NT,M-PN,C-NN,C-NN,C-DEG,C-NN,C-NN,C-SP
从,八,点,开,始,到,下,午,五,点,下,课	C-P,C-NT,C-NT,C-VV,C-VV,M-VV,C-NT,C-NT,C-NT,C-NT,C-VV,C-VV
电,影,以,后	M-NN,C-NN,C-LC,C-LC
谢,谢,您,请,我,你,的,庆,祝,会	C-VV,C-VV,C-PN,C-VV,C-PN,M-PN,C-DEG,C-NN,C-NN,C-NN
他,走,路,了,三,个,小,时	C-PN,C-VV,C-VV,M-AS,C-CD,C-M,C-NN,C-NN
你,很,久,以,前,找,工,作,很,辛,苦	C-PN,C-AD,C-AD,C-AD,C-AD,C-VV,C-VV,C-VV,M-AD,C-VA,C-VA
不,理,她,马,上,离,开,了	C-VA,C-VA,C-PN,M-AD,C-AD,C-VV,C-VV,C-SP
他,来,台,湾,三,个,月,住,在,民,宿	C-PN,C-VV,C-NR,C-NR,C-CD,C-M,C-NN,M-VV,C-P,C-NN,C-NN
可,是,我,的,个,性,是,这,样	C-AD,C-AD,C-PN,C-DEG,C-NN,C-NN,M-VC,C-VA,C-VA
母,亲,节,一,个,礼,拜,就,要,到,了	C-NN,C-NN,C-NN,M-AD,C-AD,C-NN,C-NN,C-AD,C-VV,C-VV,C-SP
再,加,上,周,杰,伦,实,际,上,学,的,学,校	C-AD,C-VV,C-VV,M-NR,C-NR,C-NN,C-AD,C-AD,C-AD,C-VV,C-DEC,C-NN,C-NN
因,为,他,很,多,年,病,了	C-P,C-P,C-PN,D-AD,C-AD,C-AD,C-VV,C-AS
她,会,让,我,们,买,什,么	C-PN,M-VV,C-VV,C-PN,C-PN,C-VV,C-DT,C-DT
